,filename,cultivar
0,1000005362.png,PI_180348
1,1000099707.png,PI_329333
2,1000135300.png,PI_19770
3,1000136796.png,PI_329256
4,1000292439.png,PI_155516
5,1000350798.png,PI_267573
6,100043618.png,PI_329326
7,1000556805.png,PI_52606
8,1000673645.png,PI_197542
9,1000720114.png,PI_217691
10,1000826475.png,PI_217691
11,1000856201.png,PI_329338
12,1000961485.png,PI_257599
13,1001162778.png,PI_329326
14,1001197278.png,PI_170787
15,1001370074.png,PI_152971
16,1001378931.png,PI_329300
17,1001413857.png,PI_19770
18,1001498746.png,PI_156178
19,1001636773.png,PI_175919
20,1001638796.png,PI_152727
21,1001737542.png,PI_267573
22,1001995046.png,PI_92270
23,1002003633.png,PI_156330
24,1002365881.png,PI_154944
25,1002504453.png,PI_152730
26,1002691631.png,PI_92270
27,1002795926.png,PI_197542
28,1002800160.png,PI_329286
29,1002952399.png,PI_167093
30,1002983011.png,PI_156217
31,1002990159.png,PI_52606
32,1003010581.png,PI_154944
33,1003155122.png,PI_329319
34,1003311078.png,PI_152923
35,1003328432.png,PI_152860
36,1003348905.png,PI_152733
37,1003406582.png,PI_152967
38,1003492512.png,PI_22913
39,100349744.png,PI_253986
40,1003571511.png,PI_152694
41,1003677472.png,PI_273465
42,100379980.png,PI_329300
43,1003826113.png,PI_154844
44,100390910.png,PI_146890
45,1003950332.png,PI_152728
46,1004209410.png,PI_329333
47,1004230273.png,PI_303658
48,1004262834.png,PI_63715
49,1004283064.png,PI_180348
50,1004289432.png,PI_329333
51,1004300261.png,PI_22913
52,1004489730.png,PI_175919
53,100455131.png,PI_152651
54,1004842169.png,PI_253986
55,100488511.png,PI_154846
56,1004973311.png,PI_297130
57,1005014400.png,PI_329300
58,1005126058.png,PI_176766
59,1005317620.png,PI_156393
60,1005338616.png,PI_303658
61,1005573127.png,PI_52606
62,1005609085.png,PI_213900
63,1005612668.png,PI_145626
64,1005741219.png,PI_297130
65,100576929.png,PI_329300
66,1005899795.png,PI_154846
67,1005954988.png,PI_152923
68,1006278924.png,PI_156463
69,1006321929.png,PI_145626
70,1006347844.png,PI_196049
71,100640883.png,PI_170787
72,1006480135.png,PI_179749
73,1006608275.png,PI_329326
74,1006660626.png,PI_329319
75,1006667403.png,PI_146890
76,1006718467.png,PI_170787
77,1006721487.png,PI_156178
78,1006996379.png,PI_197542
79,1007060114.png,PI_329326
80,1007110059.png,PI_92270
81,1007227367.png,PI_152771
82,1007445433.png,PI_152771
83,1007574874.png,PI_180348
84,1007964788.png,PI_329351
85,1008090292.png,PI_156487
